NodeName,Lat,Long,Bin,Radio_CQI_Distribution,Number_of_Users
1,133.7201,-84.1524,0,605.222229,248.1736145
2,133.7201,-84.1524,1,906.2222087,248.1736145
3,133.7201,-84.1524,2,7557.555501,248.1736145
4,133.7201,-84.1524,3,43046.55599,248.1736145
5,133.7201,-84.1524,4,134478.776,248.1736145
6,133.7201,-84.1524,5,258118.4479,248.1736145
7,133.7201,-84.1524,6,334375,248.1736145
8,133.7201,-84.1524,7,334032.2188,248.1736145
9,133.7201,-84.1524,8,352427.2135,248.1736145
10,133.7201,-84.1524,9,298520.224,248.1736145
11,133.7201,-84.1524,10,190607.0013,248.1736145
12,133.7201,-84.1524,11,163771.776,248.1736145
13,133.7201,-84.1524,12,106628.332,248.1736145
14,133.7201,-84.1524,13,56045.33268,248.1736145
15,133.7201,-84.1524,14,27092.66634,248.1736145
16,133.7201,-84.1524,15,24679.111,248.1736145
17,133.7028,-84.1071,0,1229.666641,306.6800976
18,133.7028,-84.1071,1,531.9444377,306.6800976
19,133.7028,-84.1071,2,2856.722198,306.6800976
20,133.7028,-84.1071,3,8728.499919,306.6800976
21,133.7028,-84.1071,4,28423.94432,306.6800976
22,133.7028,-84.1071,5,65212.38924,306.6800976
23,133.7028,-84.1071,6,95504.38818,306.6800976
24,133.7028,-84.1071,7,99605.50016,306.6800976
25,133.7028,-84.1071,8,107259.1113,306.6800976
26,133.7028,-84.1071,9,124159.0573,306.6800976
27,133.7028,-84.1071,10,112451.998,306.6800976
28,133.7028,-84.1071,11,133469.224,306.6800976
29,133.7028,-84.1071,12,129837.1084,306.6800976
30,133.7028,-84.1071,13,102729.8874,306.6800976
31,133.7028,-84.1071,14,69323.05599,306.6800976
32,133.7028,-84.1071,15,111669.557,306.6800976
33,133.7007,-84.1807,0,911.3888855,322.6578712
34,133.7007,-84.1807,1,835.0000153,322.6578712
35,133.7007,-84.1807,2,4599.444478,322.6578712
36,133.7007,-84.1807,3,17119.38932,322.6578712
37,133.7007,-84.1807,4,44982.61153,322.6578712
38,133.7007,-84.1807,5,91573.611,322.6578712
39,133.7007,-84.1807,6,121711.2217,322.6578712
40,133.7007,-84.1807,7,138382.5573,322.6578712
41,133.7007,-84.1807,8,158111.168,322.6578712
42,133.7007,-84.1807,9,156474.832,322.6578712
43,133.7007,-84.1807,10,121897.722,322.6578712
44,133.7007,-84.1807,11,132430.554,322.6578712
45,133.7007,-84.1807,12,107729.4443,322.6578712
46,133.7007,-84.1807,13,74069.77783,322.6578712
