patty.id lat lng ele rss gps.time.err
7 40.005565300 -105.266764800 1652.770 -88 -0.353403
4 40.005154600 -105.261840300 1647.850 -80 -0.461884
4 40.008142600 -105.263520900 1645.320 -78 -0.168752
4 40.007341000 -105.266037000 1654.140 -75 0.437692
8 40.006092100 -105.271383500 1662.140 -85 0.063619
7 40.008642100 -105.273825300 1669.410 -84 0.110117
7 40.008129900 -105.269403100 1662.980 -84 0.179917
6 40.006695300 -105.265119100 1654.200 -79 0.183412
2 40.003801200 -105.261496700 1650.890 -93 0.363536
4 40.007201300 -105.262013400 1645.310 -83 -0.175763
4 40.008231300 -105.265322300 1647.340 -73 -0.377631
4 40.007287900 -105.267227100 1663.030 -78 0.156098
8 40.006031300 -105.270572500 1658.980 -87 0.466912
4 40.006288400 -105.263802900 1660.170 -70 0.460891
7 40.005562400 -105.266730700 1652.710 -85 -0.333787
4 40.005138900 -105.261866300 1647.490 -80 -0.181758
4 40.008142700 -105.263483300 1645.260 -79 0.131868
4 40.007341000 -105.266037000 1654.140 -70 -0.483962
4 40.008555000 -105.273848400 1671.100 -84 0.330547
4 40.006902700 -105.264798100 1650.830 -83 0.051054
4 40.007196700 -105.262036300 1644.870 -86 0.108803
4 40.008233200 -105.265282600 1647.500 -73 -0.094007
7 40.007291900 -105.267181900 1662.870 -85 -0.428096
8 40.006031300 -105.270572500 1658.980 -93 -0.216562
4 40.006288400 -105.263802900 1660.170 -77 -0.471876
7 40.005560600 -105.266696600 1652.700 -81 0.01858
4 40.005121400 -105.261895300 1647.840 -82 -0.20283
4 40.008144300 -105.263445800 1645.370 -81 0.313009
4 40.007340200 -105.266063200 1654.060 -75 -0.303289
7 40.008595300 -105.273840200 1670.380 -92 0.310206
7 40.006850600 -105.264873700 1651.550 -82 0.278139
4 40.003769200 -105.261599800 1651.280 -88 -0.085205
4 40.007188500 -105.262062300 1644.700 -84 0.468857
4 40.008234000 -105.265244900 1647.560 -74 0.280087
4 40.007286400 -105.267250400 1663.070 -76 -0.277829
6 40.006288400 -105.263743400 1660.190 -81 -0.346958
7 40.005561300 -105.266663200 1652.640 -83 0.243975
4 40.005104100 -105.261922000 1647.870 -81 -0.021379
4 40.008145000 -105.263407100 1645.470 -79 0.39125
4 40.007340700 -105.266088400 1653.870 -68 -0.13892
8 40.006097600 -105.271319100 1661.770 -88 0.322992
7 40.006850600 -105.264873700 1651.550 -80 -0.362013
4 40.003759900 -105.261626800 1650.990 -88 0.377978
4 40.007188500 -105.262062300 1644.700 -88 -0.246473
4 40.008236700 -105.265205500 1648.100 -71 0.346347
4 40.007286000 -105.267269600 1663.370 -75 0.107576
7 40.005938300 -105.270444000 1659.280 -85 0.078935
4 40.006299200 -105.263860300 1659.460 -78 0.10576
7 40.005561300 -105.266663200 1652.640 -84 -0.43681
4 40.005086000 -105.261947300 1647.720 -80 0.445077
4 40.008146300 -105.263368900 1645.650 -78 0.470226
4 40.007342000 -105.266112800 1653.780 -73 -0.146594
4 40.008521400 -105.273860100 1670.850 -90 -0.029088
7 40.006868200 -105.264848500 1651.320 -78 -0.016692
4 40.003759900 -105.261626800 1650.990 -89 -0.225156
4 40.007177400 -105.262088200 1644.550 -86 -0.056833
4 40.008237700 -105.265167700 1648.470 -70 0.416058
4 40.007282300 -105.267290700 1663.910 -79 0.084038
4 40.006312100 -105.263882300 1659.130 -69 0.184616
7 40.005564300 -105.266631600 1652.310 -81 -0.280213
4 40.005068000 -105.261972500 1647.540 -80 0.442819
4 40.008146300 -105.263368900 1645.650 -74 -0.366947
4 40.007342600 -105.266136900 1653.720 -72 -0.067894
4 40.008220400 -105.269210800 1658.320 -94 -0.299088
7 40.006885900 -105.264823600 1651.170 -86 0.363744
2 40.003777200 -105.261573000 1651.460 -88 -0.297086
4 40.007164600 -105.262112100 1644.490 -84 0.343375
4 40.008236900 -105.265130800 1648.730 -70 0.42573
4 40.006312100 -105.263882300 1659.130 -70 -0.436418
4 40.007277200 -105.267313500 1664.010 -76 0.263962
7 40.005569700 -105.266603000 1652.150 -83 0.037895
4 40.005068000 -105.261972500 1647.540 -80 -0.376143
7 40.008144300 -105.263445800 1645.370 -84 0.044396
4 40.007343900 -105.266160700 1653.450 -75 0.419901
4 40.006092200 -105.271157100 1661.100 -85 -0.076303
7 40.006902700 -105.264798100 1650.830 -82 0.389677
4 40.007164600 -105.262112100 1644.490 -79 -0.371816
4 40.008236900 -105.265130800 1648.730 -74 -0.394006
4 40.006328100 -105.263903700 1658.570 -75 -0.351498
4 40.007277200 -105.267313500 1664.010 -74 -0.35025
7 40.005575600 -105.266575700 1652.160 -86 0.08034
4 40.005050600 -105.262001000 1647.710 -85 -0.298
4 40.008145600 -105.263290200 1645.530 -63 -0.191941
4 40.007343900 -105.266160700 1653.450 -73 -0.298933
7 40.006919900 -105.264773500 1650.720 -84 0.384248
2 40.007188500 -105.262062300 1644.700 -83 -0.444153
4 40.008238600 -105.265094400 1648.950 -66 -0.315218
4 40.006344500 -105.263926700 1657.590 -72 -0.072169
6 40.007282300 -105.267290700 1663.910 -82 -0.259874
7 40.005578700 -105.266549900 1651.980 -81 0.380467
4 40.005031700 -105.262024800 1647.360 -80 -0.233394
4 40.008147500 -105.263250500 1645.520 -63 0.19409
4 40.007345200 -105.266184000 1653.430 -66 -0.013773
4 40.006099100 -105.271103600 1660.950 -91 -0.011065
7 40.007880100 -105.269028100 1666.620 -85 0.337356
7 40.008220400 -105.269210800 1658.320 -87 0.224518
